,,Posición,Tipo de salida,Marca temporal,Team,Fecha,Comentarios generales,Horario de intervención,M101 - SN del módulo,M101 - Ángulo (RA),M102 - SN del módulo,M102 - Ángulo (RA),M103 - SN del módulo,M103 - Ángulo (RA),SN Panel Solar,SN Regulador,SN Batería 1,SN Batería 2,Comentarios (Deployment Cañerias),SN Battery Box,Instalación de térmica,M101 - SN del ekit,M102 - SN del ekit,M103 - SN del ekit,SN Distribuidora,Cableado de Superficie,Descripción de la tarea,M101 - Ekit viejo,M101 - Ekit nuevo,M102 - Ekit viejo,M103 - Ekit viejo,M102 - Ekit nuevo,M103 - Ekit nuevo,Distribuidora vieja,Distribuidora nueva,Regulador viejo,Regulador nuevo,Panel Solar viejo,Panel Solar nuevo,Se apagó UUB? ,Otros comentarios,Mikrotik vieja,Mikrotik nueva,,M101 instalado por:,M102 instalado por:,M103 instalado por:,Cableado Subterraneo,Maleza,Erosión,Acceso,Reporta,Se colocó cable de tierra entre BBox de AMIGA y SD?,Fotos (Opcional),Comentarios (Deployment Módulos),Comentarios (Deployment Potencia),Comentarios (Deployment Ekits),Comentarios (Cableado Superficie),Comentarios (Cableado Subterraneo),Fotos (Opcional),Fotos (Opcional),Añadir fotos:
Salida a Campo AMIGA - 31-03-2023,"# PLANCK (id=1774) - vie 31/03/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolás Leal
### Hora: 09:10
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power, Eth (x4)
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: 
",PLANCK (id=1774),Cableado de Superficie,9/05/2023 12:06:22,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",31/03/2023,,9:10:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power, Eth (x4)",,,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 31-03-2023,"# PLANCK (id=1774) - vie 31/03/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolás Leal
### Hora: 11:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment E-Kits
   - M101 - SN del ekit: 114
   - M101 instalado por: Nicolas Sepúlveda
   - M102 - SN del ekit: 153
   - M102 instalado por: Nicolas Sepúlveda
   - M103 - SN del ekit: 144
   - M103 instalado por: Nicolas Sepúlveda
   - Comentarios: 
",PLANCK (id=1774),Deployment E-Kits,9/05/2023 12:09:13,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",31/03/2023,,11:00:00,,,,,,,,,,,,,,114,153,144,,,,,,,,,,,,,,,,No,,,,,Nicolas Sepúlveda,Nicolas Sepúlveda,Nicolas Sepúlveda,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 04-04-2023,"# FRANQUITO (id=1776) - mar 04/04/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel, Nicolas Sepúlveda
### Reporta: Nicolás Leal
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power, Eth (x4)
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: 
",FRANQUITO (id=1776),Cableado de Superficie,9/05/2023 12:02:06,"Agustin Morales, Maximiliano Maciel, Nicolas Sepúlveda",4/04/2023,,10:00:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power, Eth (x4)",,,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 04-04-2023,"# PAUL SOMMERS (id=1763) - mar 04/04/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel, Nicolas Sepúlveda
### Reporta: Nicolás Leal
### Hora: 13:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Problema del T1 en Paul somers: estaba mal conectado en la distribuidora
",PAUL SOMMERS (id=1763),Mantenimiento general,9/05/2023 12:03:57,"Agustin Morales, Maximiliano Maciel, Nicolas Sepúlveda",4/04/2023,,13:00:00,,,,,,,,,,,,,,,,,,,Problema del T1 en Paul somers: estaba mal conectado en la distribuidora,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 05-04-2023,"# CATHERINA (id=12) - mié 05/04/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Luciana Torres
### Reporta: Nicolás Leal
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: - Cambio de cables del M101
- Cañería en Catherina (se le saco el agua acumulada y se volvió a tapar bien) cambio de cables M101
",CATHERINA (id=12),Mantenimiento general,9/05/2023 11:58:03,"Gustavo Rios, Gabriel Morales, Luciana Torres",5/04/2023,,10:00:00,,,,,,,,,,,,,,,,,,,"- Cambio de cables del M101
- Cañería en Catherina (se le saco el agua acumulada y se volvió a tapar bien) cambio de cables M101",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 05-04-2023,"# CONSTANZA (id=734) - mié 05/04/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Luciana Torres
### Reporta: Nicolás Leal
### Hora: 13:00
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: 
",CONSTANZA (id=734),Cableado de Superficie,9/05/2023 11:59:47,"Gustavo Rios, Gabriel Morales, Luciana Torres",5/04/2023,,13:00:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power",,,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 11-04-2023,"# TOUNE (id=688) - mar 11/04/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolás Leal
### Hora: 09:10
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Distribuidora vieja: 0013 --> Nuevo: 0039
   - Descripción de la tarea: Chequeo de cables de módulos:
- M101: OK
- M102:  (tiene bolsas grandes) 
- M103: Cookie con hormigas. Se limpió y se colocó nuevamente
- M3: Desconectado. PMT atascado en cookie
- M4: Desconectado

- Mikrotik vieja
",TOUNE (id=688),Mantenimiento general,8/05/2023 11:45:30,"Gustavo Rios, Agustin Morales, Nicolas Sepúlveda",11/04/2023,,9:10:00,,,,,,,,,,,,,,,,,,,"Chequeo de cables de módulos:
- M101: OK
- M102:  (tiene bolsas grandes) 
- M103: Cookie con hormigas. Se limpió y se colocó nuevamente
- M3: Desconectado. PMT atascado en cookie
- M4: Desconectado

- Mikrotik vieja",,,,,,,0013,0039,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 19-04-2023,"# TOUNE (id=688) - mié 19/04/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres, Maximiliano Maciel
### Reporta: Nicolás Leal
### Hora: 09:10
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power, Eth (x4)
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: 
",TOUNE (id=688),Cableado de Superficie,8/05/2023 11:40:36,"Gabriel Morales, Luciana Torres, Maximiliano Maciel",19/04/2023,,9:10:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power, Eth (x4)",,,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 25-04-2023,"# PHIL COLLINS (id=1622) - mar 25/04/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Luciana Torres
### Reporta: Nicolás Leal
### Hora: 09:15
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: •Cambio de distribuidoras. 
•Reemplazo de cableado T1,Serial y Poe por cableado mallado.

Batery box principal
Colocada  SN 0003
Retiramos SN 0029
Colocada Master: SN 0040
Batery box 2 
Colocada   SN 0047 
Retirada     SN 0050  
Batery box 3 
Colocada   SN 0066 
Retirada     SN 0073 

",PHIL COLLINS (id=1622),Mantenimiento general,8/05/2023 11:37:43,"Agustin Morales, Luciana Torres",25/04/2023,,9:15:00,,,,,,,,,,,,,,,,,,,"•Cambio de distribuidoras. 
•Reemplazo de cableado T1,Serial y Poe por cableado mallado.

Batery box principal
Colocada  SN 0003
Retiramos SN 0029
Colocada Master: SN 0040
Batery box 2 
Colocada   SN 0047 
Retirada     SN 0050  
Batery box 3 
Colocada   SN 0066 
Retirada     SN 0073 
",,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 26-04-2023,"# PEA (id=698) - mié 26/04/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolás Leal
### Hora: 14:00
### Comentarios generales: Salida fuera de planificación
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: levantar el ekit de Pea 101, revisar la MAC, anotar bien el SN, y revisar el cableado /crimpeado. También ver si está afectado el cable por algún roedor.
Se encuentra que la MAC del 101 estaba equivocada
",PEA (id=698),Mantenimiento general,8/05/2023 11:33:01,"Agustin Morales, Nicolas Sepúlveda",26/04/2023,Salida fuera de planificación,14:00:00,,,,,,,,,,,,,,,,,,,"levantar el ekit de Pea 101, revisar la MAC, anotar bien el SN, y revisar el cableado /crimpeado. También ver si está afectado el cable por algún roedor.
Se encuentra que la MAC del 101 estaba equivocada",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
